-0.121097 -95.055183,32.715939 -92.743778,65.294285 -87.230123,81.103988 61.387015,49.058986 80.815655,16.311197 83.903128,-16.543254 86.017453,-49.215778 89.112159,-81.135079 108.607189,-65.392685 -102.900892,-32.918597 -97.369418,10.835021 -64.361363,43.620247 -61.628807,75.961299 -50.554392,70.657835 104.683202,38.172112 112.132634,5.357115 114.616179,-27.467385 116.816591,-60.019052 121.179640,-85.513545 -117.944052,-54.625044 -70.104081,-22.008560 -66.496991,21.784269 -33.614534,54.486535 -30.017055,85.506726 17.732615,59.900058 138.755107,27.252928 143.105233,-5.598175 145.303836,-38.361132 147.791390,-70.734699 155.266449,-76.015762 -49.601060,-43.793928 -38.487269,-11.072689 -35.749279,32.715939 -2.743778,65.294285 2.769877,81.103988 151.387015,49.058986 170.815655,16.311197 173.903128,-16.543254 176.017453,-49.215778 179.112159,-81.135079 -161.392811,-65.392685 -12.900892,-32.918597 -7.369418,-0.121097 -5.055183,43.620247 28.371193,75.961299 39.445608,70.657835 -165.316798,38.172112 -157.867366,5.357115 -155.383821,-27.467385 -153.183409,-60.019052 -148.820360,-85.513545 -27.944052,-54.625044 19.895919,-22.008560 23.503009,10.835021 25.638637,54.486535 59.982945,85.506726 107.732615,59.900058 -131.244893,27.252928 -126.894767,-5.598175 -124.696164,-38.361132 -122.208610,-70.734699 -114.733551,-76.015762 40.398940,-43.793928 51.512731,-11.072689 54.250721,21.784269 56.385466
39.903006 -94.808851,72.350764 -86.465341,74.287219 69.339379,41.891232 78.973865,9.095725 81.617556,-23.742675 83.768862,-56.339648 87.583789,-86.285807 156.769917,-58.308167 -103.625631,-25.734800 -99.536917,7.096633 -97.362041,50.783730 -63.410480,82.649400 -38.789632,63.584031 104.954593,30.981937 110.038277,-1.860442 112.308044,-34.647771 114.670202,-67.093216 120.708121,-79.541266 -87.624744,-47.495434 -71.723681,-14.806678 -68.756219,18.049478 -66.639942,61.615358 -31.158125,84.297434 103.387131,52.764463 137.468685,20.046805 140.883166,-12.810266 143.006873,-45.516796 145.844784,-77.668302 158.825167,-69.043033 -47.212084,-36.633951 -40.475467,-3.859232 -38.050286,28.988284 -35.821550,72.350764 3.534659,74.287219 159.339379,41.891232 168.973865,9.095725 171.617556,-23.742675 173.768862,-56.339648 177.583789,-86.285807 -113.230083,-58.308167 -13.625631,-25.734800 -9.536917,7.096633 -7.362041,39.903006 -4.808851,82.649400 51.210368,63.584031 -165.045407,30.981937 -159.961723,-1.860442 -157.691956,-34.647771 -155.329798,-67.093216 -149.291879,-79.541266 2.375256,-47.495434 18.276319,-14.806678 21.243781,18.049478 23.360058,50.783730 26.589520,84.297434 -166.612869,52.764463 -132.531315,20.046805 -129.116834,-12.810266 -126.993127,-45.516796 -124.155216,-77.668302 -111.174833,-69.043033 42.787916,-36.633951 49.524533,-3.859232 51.949714,28.988284 54.178450,61.615358 58.841875
43.526414 -94.651811,75.870746 -83.665007,70.749891 71.617787,38.266092 79.111298,5.451543 81.598420,-27.373354 83.797322,-59.926229 88.144509,-85.569061 -151.919535,-54.718158 -103.133372,-22.102711 -99.515649,10.740610 -97.379282,54.393090 -63.046208,85.449589 -16.220120,59.993221 105.719929,27.347144 110.085966,-5.503786 112.286076,-38.267401 114.770054,-70.643006 122.201325,-76.105880 -82.713286,-43.887479 -71.510340,-11.167020 -68.767208,21.689965 -66.633172,65.201519 -30.275344,81.189583 118.128268,49.152639 137.790147,16.405565 140.884916,-16.449001 142.999240,-49.122424 146.086660,-81.049737 165.352431,-65.485079 -45.946472,-33.012484 -40.389569,-0.215518 -38.072888,32.621829 -35.763892,75.870746 6.334993,70.749891 161.617787,38.266092 169.111298,5.451543 171.598420,-27.373354 173.797322,-59.926229 178.144509,-85.569061 -61.919535,-54.718158 -13.133372,-22.102711 -9.515649,10.740610 -7.379282,43.526414 -4.651811,85.449589 73.779880,59.993221 -164.280071,27.347144 -159.914034,-5.503786 -157.713924,-38.267401 -155.229946,-70.643006 -147.798675,-76.105880 7.286714,-43.887479 18.489660,-11.167020 21.232792,21.689965 23.366828,54.393090 26.953792,81.189583 -151.871732,49.152639 -132.209853,16.405565 -129.115084,-16.449001 -127.000760,-49.122424 -123.913340,-81.049737 -104.647569,-65.485079 44.053528,-33.012484 49.610431,-0.215518 51.927112,32.621829 54.236108,65.201519 59.724656
47.145685 -94.442896,79.326458 -78.918733,67.186707 73.133975,34.637387 79.211974,1.807213 81.576487,-31.000671 83.844530,-63.503958 88.901237,-82.834834 -128.164539,-51.121416 -102.761775,-18.467742 -99.507895,14.383832 -97.390846,57.996316 -62.563685,86.330206 34.352118,56.393927 106.286343,23.709840 110.114795,-9.146005 112.266869,-41.882730 114.906398,-74.167247 124.437776,-72.603231 -79.831416,-40.274679 -71.349771,-7.525604 -68.784050,25.328507 -66.613136,68.774536 -29.038329,77.800245 124.865211,45.535868 138.034009,12.762939 140.877441,-20.085416 143.000776,-52.722518 146.405373,-84.165855 179.456042,-61.913317 -45.044633,-29.387170 -40.330036,3.428710 -38.095568,36.252358 -35.680296,79.326458 11.081267,67.186707 163.133975,34.637387 169.211974,1.807213 171.576487,-31.000671 173.844530,-63.503958 178.901237,-82.834834 -38.164539,-51.121416 -12.761775,-18.467742 -9.507895,14.383832 -7.390846,47.145685 -4.442896,86.330206 124.352118,56.393927 -163.713657,23.709840 -159.885205,-9.146005 -157.733131,-41.882730 -155.093602,-74.167247 -145.562224,-72.603231 10.168584,-40.274679 18.650229,-7.525604 21.215950,25.328507 23.386864,57.996316 27.436315,77.800245 -145.134789,45.535868 -131.965991,12.762939 -129.122559,-20.085416 -126.999224,-52.722518 -123.594627,-84.165855 -90.543958,-61.913317 44.955367,-29.387170 49.669964,3.428710 51.904432,36.252358 54.319704,68.774536 60.961671
50.760332 -94.167102,82.628959 -69.631662,63.607259 74.194235,31.005473 79.283322,-1.836839 81.553616,-34.624311 83.915082,-67.070161 89.945552,-79.563159 -118.421983,-47.518788 -102.479841,-14.830248 -99.510747,18.025890 -97.394524,61.592094 -61.917555,84.315622 72.485626,52.787841 106.711724,20.070386 110.128544,-12.786689 112.252372,-45.493423 115.088851,-77.645997 128.040338,-69.066024 -77.976445,-36.657397 -71.230698,-3.882833 -68.804719,28.964738 -66.576426,72.327834 -27.234190,74.310013 128.566452,41.914702 138.218260,9.119330 140.863091,-23.719147 143.014155,-56.316390 146.826084,-86.279552 -144.329386,-58.331398 -44.383878,-25.758318 -40.291681,7.073027 -38.116491,39.879522 -35.564300,82.628959 20.368338,63.607259 164.194235,31.005473 169.283322,-1.836839 171.553616,-34.624311 173.915082,-67.070161 179.945552,-79.563159 -28.421983,-47.518788 -12.479841,-14.830248 -9.510747,18.025890 -7.394524,50.760332 -4.167102,84.315622 162.485626,52.787841 -163.288276,20.070386 -159.871456,-12.786689 -157.747628,-45.493423 -154.911149,-77.645997 -141.959662,-69.066024 12.023555,-36.657397 18.769302,-3.882833 21.195281,28.964738 23.423574,61.592094 28.082445,74.310013 -141.433548,41.914702 -131.781740,9.119330 -129.136909,-23.719147 -126.985845,-56.316390 -123.173916,-86.279552 -54.329386,-58.331398 45.616122,-25.758318 49.708319,7.073027 51.883509,39.879522 54.435700,72.327834 62.765810
54.369728 -93.803484,85.435116 -47.204612,60.016511 74.961113,27.370697 79.331147,-5.480189 81.531636,-38.243967 84.014724,-70.620080 91.435120,-76.128403 -113.491543,-43.910867 -102.266113,-11.190603 -99.521691,21.666389 -97.387831,65.178326 -61.036613,81.210957 87.312836,49.176052 107.033762,16.429156 110.130362,-16.425437 112.244687,-49.099085 115.330293,-81.028377 134.539458,-65.508176 -76.707904,-33.035956 -71.144609,-0.239123 -68.827315,32.598301 -66.518918,75.848101 -24.442468,70.772902 130.851356,38.289586 138.355960,5.475150 140.843980,-27.349846 143.042507,-59.903023 147.385747,-85.582741 -92.917161,-54.741436 -43.890708,-22.126248 -40.270315,10.717008 -38.133762,43.502956 -35.407556,85.435116 42.795388,60.016511 164.961113,27.370697 169.331147,-5.480189 171.531636,-38.243967 174.014724,-70.620080 -178.564880,-76.128403 -23.491543,-43.910867 -12.266113,-11.190603 -9.521691,21.666389 -7.387831,54.369728 -3.803484,81.210957 177.312836,49.176052 -162.966238,16.429156 -159.869638,-16.425437 -157.755313,-49.099085 -154.669707,-81.028377 -135.460542,-65.508176 13.292096,-33.035956 18.855391,-0.239123 21.172685,32.598301 23.481082,65.178326 28.963387,70.772902 -139.148644,38.289586 -131.644040,5.475150 -129.156020,-27.349846 -126.957493,-59.903023 -122.614253,-85.582741 -2.917161,-54.741436 46.109292,-22.126248 49.729685,10.717008 51.866238,43.502956 54.592444,75.848101 65.557532
57.972998 -93.321852,86.335256 3.241819,56.417266 75.528602,23.733409 79.360086,-9.122417 81.512406,-41.859326 84.150803,-74.144533 93.665277,-72.626052 -110.600691,-40.298097 -102.105242,-7.549197 -99.538501,25.304945 -97.367890,68.751445 -59.802437,77.822616 94.079449,45.559311 107.278063,12.786539 110.122938,-20.061869 112.246156,-52.699217 115.648437,-84.147445 148.562621,-61.936489 -75.804175,-29.410666 -71.084924,3.405103 -68.850000,36.228851 -66.435509,79.304410 -19.714228,67.209848 132.371275,34.660904 138.456848,1.830820 140.822059,-30.977186 143.089580,-63.480816 148.140960,-82.855005 -69.011345,-51.144734 -43.518441,-18.491297 -40.262484,14.360236 -38.145369,47.122254 -35.199021,86.335256 93.241819,56.417266 165.528602,23.733409 169.360086,-9.122417 171.512406,-41.859326 174.150803,-74.144533 -176.334723,-72.626052 -20.600691,-40.298097 -12.105242,-7.549197 -9.538501,25.304945 -7.367890,57.972998 -3.321852,77.822616 -175.920551,45.559311 -162.721937,12.786539 -159.877062,-20.061869 -157.753844,-52.699217 -154.351563,-84.147445 -121.437379,-61.936489 14.195825,-29.410666 18.915076,3.405103 21.150000,36.228851 23.564491,68.751445 30.197563,67.209848 -137.628725,34.660904 -131.543152,1.830820 -129.177941,-30.977186 -126.910420,-63.480816 -121.859040,-82.855005 20.988655,-51.144734 46.481559,-18.491297 49.737516,14.360236 51.854631,47.122254 54.800979,79.304410 70.285772
61.568829 -92.676975,84.333772 41.583172,52.811220 75.954759,20.093968 79.373921,-12.763111 81.497871,-45.470049 84.332920,-77.623687 97.255622,-69.089013 -108.740830,-36.680842 -101.985931,-3.906433 -99.559152,28.941191 -97.331301,72.304903 -58.003000,74.332806 97.793468,41.938172 107.462653,9.142934 110.108627,-23.695618 112.259449,-56.293132 116.068385,-86.273163 -175.427514,-58.354628 -75.142133,-25.781835 -71.046446,7.049420 -68.870940,39.856038 -66.319748,82.608500 -10.473202,63.630485 133.433865,31.029010 138.528366,-1.813236 140.799188,-34.600851 143.159963,-67.047106 149.183002,-79.585045 -59.219407,-47.542142 -43.236003,-14.853818 -40.265275,18.002303 -38.149106,50.736933 -34.923719,84.333772 131.583172,52.811220 165.954759,20.093968 169.373921,-12.763111 171.497871,-45.470049 174.332920,-77.623687 -172.744378,-69.089013 -18.740830,-36.680842 -11.985931,-3.906433 -9.559152,28.941191 -7.331301,61.568829 -2.676975,74.332806 -172.206532,41.938172 -162.537347,9.142934 -159.891373,-23.695618 -157.740551,-56.293132 -153.931615,-86.273163 -85.427514,-58.354628 14.857867,-25.781835 18.953554,7.049420 21.129060,39.856038 23.680252,72.304903 31.997000,63.630485 -136.566135,31.029010 -131.471634,-1.813236 -129.200812,-34.600851 -126.840037,-67.047106 -120.816998,-79.585045 30.780593,-47.542142 46.763997,-14.853818 49.734725,18.002303 51.850894,50.736933 55.076281,82.608500 79.526798
65.155133 -91.797867,81.232319 56.497102,49.199465 76.277374,16.452748 79.375807,-16.401874 81.490135,-49.075746 84.573930,-81.007008 103.726768,-65.531272 -107.469351,-33.059427 -101.899651,-0.262728 -99.581741,32.574774 -97.273943,75.825454 -55.219851,70.795912 100.084894,38.313081 107.600620,5.498757 110.089540,-27.326338 112.287692,-59.879816 116.626993,-85.596341 -123.916300,-54.764714 -74.648048,-22.149785 -71.024981,10.693405 -68.888241,43.479497 -66.163299,85.420570 11.812360,60.039800 134.202290,27.394251 138.576327,-5.456591 140.777197,-38.220533 143.259395,-70.597153 150.668945,-76.150923 -54.269879,-43.934254 -43.021888,-11.214186 -40.276174,21.642812 -38.142488,54.346366 -34.560755,81.232319 146.497102,49.199465 166.277374,16.452748 169.375807,-16.401874 171.490135,-49.075746 174.573930,-81.007008 -166.273232,-65.531272 -17.469351,-33.059427 -11.899651,-0.262728 -9.581741,32.574774 -7.273943,65.155133 -1.797867,70.795912 -169.915106,38.313081 -162.399380,5.498757 -159.910460,-27.326338 -157.712308,-59.879816 -153.373007,-85.596341 -33.916300,-54.764714 15.351952,-22.149785 18.975019,10.693405 21.111759,43.479497 23.836701,75.825454 34.780149,60.039800 -135.797710,27.394251 -131.423673,-5.456591 -129.222803,-38.220533 -126.740605,-70.597153 -119.331055,-76.150923 35.730121,-43.934254 46.978112,-11.214186 49.723826,21.642812 51.857512,54.346366 55.439245,85.420570 101.812360
68.728353 -90.566522,77.844983 63.293568,45.582754 76.522114,12.810138 79.368436,-20.038321 81.491536,-52.675915 84.891506,-84.129000 117.670079,-61.959661 -106.563727,-29.434161 -101.839812,3.381496 -99.604432,36.205344 -97.190721,79.282357 -50.509551,67.232988 101.608557,34.684420 107.701721,1.854426 110.067631,-30.953700 112.334630,-63.457674 117.380695,-82.875157 -99.858679,-51.168052 -74.275111,-18.514851 -71.017072,14.336640 -68.899892,47.098824 -65.955143,86.340164 62.130549,56.440604 134.770855,23.756977 138.605376,-9.098828 140.757942,-41.835921 143.395210,-74.121817 152.892832,-72.648872 -51.370007,-40.321514 -42.860715,-7.572789 -40.292953,25.281382 -38.122644,57.949679 -34.080013,77.844983 153.293568,45.582754 166.522114,12.810138 169.368436,-20.038321 171.491536,-52.675915 174.891506,-84.129000 -152.329921,-61.959661 -16.563727,-29.434161 -11.839812,3.381496 -9.604432,36.205344 -7.190721,68.728353 -0.566522,67.232988 -168.391443,34.684420 -162.298279,1.854426 -159.932369,-30.953700 -157.665370,-63.457674 -152.619305,-82.875157 -9.858679,-51.168052 15.724889,-18.514851 18.982928,14.336640 21.100108,47.098824 24.044857,79.282357 39.490449,56.440604 -135.229145,23.756977 -131.394624,-9.098828 -129.242058,-41.835921 -126.604790,-74.121817 -117.107168,-72.648872 38.629993,-40.321514 47.139285,-7.572789 49.707047,25.281382 51.877356,57.949679 55.919987,86.340164 152.130549
72.281971 -88.771770,74.355596 67.020428,41.961642 76.707045,9.166539 79.354162,-23.672089 81.504743,-56.269874 85.310691,-86.266639 153.475549,-58.377858 -105.900394,-25.805353 -101.801211,7.025814 -99.625389,39.832553 -97.075193,82.588024 -41.314255,63.653712 102.673482,31.052546 107.773409,-1.789632 110.044760,-34.577390 112.404845,-67.024050 118.420469,-79.606925 -90.017015,-47.565497 -73.992169,-14.877388 -71.019803,17.978715 -68.903687,50.713535 -65.680333,84.351883 100.679761,52.834598 135.197790,20.117549 138.619298,-12.739533 140.743371,-45.446676 143.576992,-77.601374 156.471019,-69.112001 -49.505239,-36.704287 -42.741164,-3.930033 -40.313585,28.917645 -38.086175,61.545565 -33.436385,74.355596 157.020428,41.961642 166.707045,9.166539 169.354162,-23.672089 171.504743,-56.269874 175.310691,-86.266639 -116.524451,-58.377858 -15.900394,-25.805353 -11.801211,7.025814 -9.625389,39.832553 -7.075193,72.281971 1.228230,63.653712 -167.326518,31.052546 -162.226591,-1.789632 -159.955240,-34.577390 -157.595155,-67.024050 -151.579531,-79.606925 -0.017015,-47.565497 16.007831,-14.877388 18.980197,17.978715 21.096313,50.713535 24.319667,82.588024 48.685745,52.834598 -134.802210,20.117549 -131.380702,-12.739533 -129.256629,-45.446676 -126.423008,-77.601374 -113.528981,-69.112001 40.494761,-36.704287 47.258836,-3.930033 49.686415,28.917645 51.913825,61.545565 56.563615,84.351883 -169.320239
75.802804 -85.997158,70.818921 69.318401,38.336575 76.845279,5.522363 79.335100,-27.302830 81.532879,-59.856609 85.868247,-85.609860 -154.916956,-54.787991 -105.405393,-22.173322 -101.779648,10.669802 -99.642720,43.456038 -96.919041,85.405951 -19.169210,60.063089 103.443458,27.417804 107.821507,-5.432994 110.022758,-38.197100 112.504068,-70.574225 119.902800,-76.173441 -85.048297,-43.957641 -73.777666,-11.237769 -71.030657,21.619236 -68.897145,54.323004 -65.318021,81.253672 115.681064,49.222878 135.520983,16.476340 138.621252,-16.378310 140.735584,-49.052406 143.817570,-80.985629 162.914359,-65.554368 -48.230813,-33.082899 -42.654693,-0.286333 -40.336168,32.551246 -38.028966,65.131939 -32.559107,70.818921 159.318401,38.336575 166.845279,5.522363 169.335100,-27.302830 171.532879,-59.856609 175.868247,-85.609860 -64.916956,-54.787991 -15.405393,-22.173322 -11.779648,10.669802 -9.642720,43.456038 -6.919041,75.802804 4.002842,60.063089 -166.556542,27.417804 -162.178493,-5.432994 -159.977242,-38.197100 -157.495932,-70.574225 -150.097200,-76.173441 4.951703,-43.957641 16.222334,-11.237769 18.969343,21.619236 21.102855,54.323004 24.681979,85.405951 70.830790,49.222878 -134.479017,16.476340 -131.378748,-16.378310 -129.264416,-49.052406 -126.182430,-80.985629 -107.085641,-65.554368 41.769187,-33.082899 47.345307,-0.286333 49.663832,32.551246 51.971034,65.131939 57.440893,81.253672 -154.318936
79.260297 -81.304701,67.256127 70.845820,34.707936 76.946593,1.878033 79.313203,-30.930215 81.579682,-63.434531 86.620441,-82.895289 -130.706545,-51.191370 -105.031785,-18.538406 -101.771661,14.313043 -99.654414,47.075393 -96.711262,86.344928 31.018332,56.463942 104.013102,23.780546 107.850665,-9.075239 110.003479,-41.812516 112.639619,-74.099100 122.120442,-72.671691 -82.139365,-40.344931 -73.616189,-7.596382 -71.047405,25.257820 -68.877397,57.926360 -64.838167,77.867346 122.507568,45.606197 135.766162,12.833737 138.613933,-20.014774 140.736917,-52.652614 144.134579,-84.110521 176.778410,-61.982833 -47.323289,-29.457656 -42.594702,3.357889 -40.358864,36.181836 -37.945931,68.705261 -31.330584,67.256127 160.845820,34.707936 166.946593,1.878033 169.313203,-30.930215 171.579682,-63.434531 176.620441,-82.895289 -40.706545,-51.191370 -15.031785,-18.538406 -11.771661,14.313043 -9.654414,47.075393 -6.711262,79.260297 8.695299,56.463942 -165.986898,23.780546 -162.149335,-9.075239 -159.996521,-41.812516 -157.360381,-74.099100 -147.879558,-72.671691 7.860635,-40.344931 16.383811,-7.596382 18.952595,25.257820 21.122603,57.926360 25.161833,86.344928 121.018332,45.606197 -134.233838,12.833737 -131.386067,-20.014774 -129.263083,-52.652614 -125.865421,-84.110521 -93.221590,-61.982833 42.676711,-29.457656 47.405298,3.357889 49.641136,36.181836 52.054069,68.705261 58.669416,77.867346 -147.492432
82.567531 -72.154826,63.676938 71.913088,31.076081 77.018451,-1.766029 79.290333,-34.553929 81.649729,-67.000994 87.657955,-79.628799 -120.814810,-47.588851 -104.748337,-14.900958 -101.774332,17.955127 -99.658268,50.690136 -96.436943,84.369956 69.775387,52.857976 104.440816,20.141131 107.864674,-12.715956 109.988871,-45.423302 112.821066,-77.579058 125.686528,-69.134989 -80.269671,-36.727733 -73.496399,-3.953634 -71.068018,28.894099 -68.841048,61.522299 -64.195786,74.378385 126.247330,41.985112 135.951434,9.190143 138.599697,-23.648560 140.750038,-56.246615 144.553004,-86.259981 -147.620177,-58.401088 -46.658662,-25.828870 -42.555977,7.002208 -40.379838,39.809069 -37.830637,72.259037 -29.540500,63.676938 161.913088,31.076081 167.018451,-1.766029 169.290333,-34.553929 171.649729,-67.000994 177.657955,-79.628799 -30.814810,-47.588851 -14.748337,-14.900958 -11.774332,17.955127 -9.658268,50.690136 -6.436943,82.567531 17.845174,52.857976 -165.559184,20.141131 -162.135326,-12.715956 -160.011129,-45.423302 -157.178934,-77.579058 -144.313472,-69.134989 9.730329,-36.727733 16.503601,-3.953634 18.931982,28.894099 21.158952,61.522299 25.804214,84.369956 159.775387,41.985112 -134.048566,9.190143 -131.400303,-23.648560 -129.249962,-56.246615 -125.446996,-86.259981 -57.620177,-58.401088 43.341338,-25.828870 47.444023,7.002208 49.620162,39.809069 52.169363,72.259037 60.459500,74.378385 -143.752670
85.391259 -50.149330,60.086378 72.684618,27.441358 77.066686,-5.409396 79.268318,-38.173666 81.748742,-70.551296 89.136685,-76.195956 -115.826796,-43.981027 -104.533446,-11.261351 -101.785140,21.595660 -99.651802,54.299642 -96.075283,81.275014 84.864720,49.246290 104.764588,16.499931 107.866697,-16.354746 109.981032,-49.029066 113.061213,-80.964240 132.102229,-65.577463 -78.992291,-33.106370 -73.409737,-0.309938 -71.090594,32.527718 -68.783989,65.108745 -63.320332,70.841929 128.551877,38.360069 136.089937,5.545970 138.580659,-27.279321 140.778066,-59.833401 145.109508,-85.623296 -95.919135,-54.811268 -46.162744,-22.196859 -42.534316,10.646200 -40.397199,43.432579 -37.674780,75.780152 -26.774390,60.086378 162.684618,27.441358 167.066686,-5.409396 169.268318,-38.173666 171.748742,-70.551296 179.136685,-76.195956 -25.826796,-43.981027 -14.533446,-11.261351 -11.785140,21.595660 -9.651802,54.299642 -6.075283,85.391259 39.850670,49.246290 -165.235412,16.499931 -162.133303,-16.354746 -160.018968,-49.029066 -156.938787,-80.964240 -137.897771,-65.577463 11.007709,-33.106370 16.590263,-0.309938 18.909406,32.527718 21.216011,65.108745 26.679668,81.275014 174.864720,38.360069 -133.910063,5.545970 -131.419341,-27.279321 -129.221934,-59.833401 -124.890492,-85.623296 -5.919135,-54.811268 43.837256,-22.196859 47.465684,10.646200 49.602801,43.432579 52.325220,75.780152 63.225610,70.841929 -141.448123
86.349549 -0.094807,56.487280 73.255344,23.804114 77.095953,-9.051650 79.249016,-41.789111 81.884030,-74.076381 91.348105,-72.694509 -112.908766,-40.368348 -104.371666,-7.619975 -101.801857,25.234257 -99.632149,57.903041 -95.596314,77.889705 91.721447,45.629639 105.010208,12.857337 107.859430,-19.991226 109.982299,-52.629312 113.377656,-84.092008 145.887605,-62.006004 -78.082860,-29.481151 -73.349592,3.334282 -71.113295,36.158329 -68.701140,68.682167 -62.094623,67.279266 130.083064,34.731452 136.191463,1.901639 138.558775,-30.906729 140.824734,-63.411387 145.860199,-82.915402 -71.554948,-51.214688 -45.788462,-18.561960 -42.526251,14.289446 -40.408936,47.051962 -37.467379,79.238233 -22.099681,56.487280 163.255344,23.804114 167.095953,-9.051650 169.249016,-41.789111 171.884030,-74.076381 -178.651895,-72.694509 -22.908766,-40.368348 -14.371666,-7.619975 -11.801857,25.234257 -9.632149,57.903041 -5.596314,86.349549 89.905193,45.629639 -164.989792,12.857337 -162.140570,-19.991226 -160.017701,-52.629312 -156.622344,-84.092008 -124.112395,-62.006004 11.917140,-29.481151 16.650408,3.334282 18.886705,36.158329 21.298860,68.682167 27.905377,77.889705 -178.278553,34.731452 -133.808537,1.901639 -131.441225,-30.906729 -129.175266,-63.411387 -124.139801,-82.915402 18.445052,-51.214688 44.211538,-18.561960 47.473749,14.289446 49.591064,47.051962 52.532621,79.238233 67.900319,67.279266 -139.916936
84.387989 38.870041,52.881354 73.683838,20.164712 77.110050,-12.692378 79.234371,-45.399928 82.065143,-77.556737 94.902148,-69.157976 -111.034129,-36.751177 -104.251635,-3.977234 -101.822451,28.870552 -99.595920,61.499033 -94.955177,74.401171 95.474175,42.008581 105.195821,9.213748 107.845232,-23.625030 109.995334,-56.223356 113.795322,-86.253191 -178.714675,-58.424317 -77.416937,-25.852387 -73.310744,6.978602 -71.134286,39.785584 -68.586080,72.236102 -60.309191,63.700163 131.152681,31.099617 136.263492,-1.742425 138.535905,-34.530469 140.894614,-66.977936 146.895458,-79.650666 -61.612792,-47.612204 -45.504508,-14.924528 -42.528861,17.931540 -40.412849,50.666736 -37.193550,82.547020 -12.994917,52.881354 163.683838,20.164712 167.110050,-12.692378 169.234371,-45.399928 172.065143,-77.556737 -175.097852,-69.157976 -21.034129,-36.751177 -14.251635,-3.977234 -11.822451,28.870552 -9.595920,61.499033 -4.955177,84.387989 128.870041,42.008581 -164.804179,9.213748 -162.154768,-23.625030 -160.004666,-56.223356 -156.204678,-86.253191 -88.714675,-58.424317 12.583063,-25.852387 16.689256,6.978602 18.865714,39.785584 21.413920,72.236102 29.690809,74.401171 -174.525825,31.099617 -133.736508,-1.742425 -131.464095,-34.530469 -129.105386,-66.977936 -123.104542,-79.650666 28.387208,-47.612204 44.495492,-14.924528 47.471139,17.931540 49.587151,50.666736 52.806450,82.547020 77.005083,63.700163 -138.847319
81.296345 54.048067,49.269702 74.008190,16.523523 77.112142,-16.331182 79.226481,-49.005726 82.304859,-80.942842 101.290376,-65.600558 -109.753783,-33.129841 -104.164782,-0.333543 -101.845021,32.504189 -99.539011,65.085550 -94.081543,70.864936 97.785321,38.383563 105.334593,5.569577 107.826219,-27.255813 110.023253,-59.810193 114.350778,-85.636649 -126.922841,-54.834545 -76.920099,-22.220396 -73.288984,10.622597 -71.151677,43.409120 -68.430517,75.757497 -57.551546,60.109666 131.925770,27.464911 136.311864,-5.385799 138.513879,-38.150232 140.993418,-70.528366 148.370599,-76.218468 -56.605378,-44.004414 -45.289228,-11.284933 -42.539624,21.572083 -40.406458,54.276279 -36.832539,85.376496 8.871995,49.269702 164.008190,16.523523 167.112142,-16.331182 169.226481,-49.005726 172.304859,-80.942842 -168.709624,-65.600558 -19.753783,-33.129841 -14.164782,-0.333543 -11.845021,32.504189 -9.539011,65.085550 -4.081543,81.296345 144.048067,38.383563 -164.665407,5.569577 -162.173781,-27.255813 -159.976747,-59.810193 -155.649222,-85.636649 -36.922841,-54.834545 13.079901,-22.220396 16.711016,10.622597 18.848323,43.409120 21.569483,75.757497 32.448454,70.864936 -172.214679,27.464911 -133.688136,-5.385799 -131.486121,-38.150232 -129.006582,-70.528366 -121.629401,-76.218468 33.394622,-44.004414 44.710772,-11.284933 47.460376,21.572083 49.593542,54.276279 53.167461,85.376496 98.871995,60.109666 -138.074230
77.912060 60.935206,45.653081 74.254251,12.880936 77.104927,-19.967678 79.227681,-52.606009 82.620737,-84.073461 114.997660,-62.029175 -108.842442,-29.504646 -104.104483,3.310675 -101.867727,36.134821 -99.456347,68.659073 -92.858639,67.302404 99.320289,34.754968 105.436332,1.925246 107.804347,-30.883243 110.069788,-63.388243 115.099969,-82.935496 -102.403891,-51.238005 -76.545144,-18.585515 -73.280841,14.265850 -71.163458,47.028531 -68.223492,79.216162 -52.894490,56.510617 132.497579,23.827683 136.341241,-9.028061 138.494553,-41.765706 141.128443,-74.053660 150.575822,-72.717324 -53.678208,-40.391765 -45.127144,-7.643567 -42.556309,25.210694 -40.386901,57.879721 -36.354454,86.354026 58.791156,45.653081 164.254251,12.880936 167.104927,-19.967678 169.227681,-52.606009 172.620737,-84.073461 -155.002340,-62.029175 -18.842442,-29.504646 -14.104483,3.310675 -11.867727,36.134821 -9.456347,68.659073 -2.858639,77.912060 150.935206,34.754968 -164.563668,1.925246 -162.195653,-30.883243 -159.930212,-63.388243 -154.900031,-82.935496 -12.403891,-51.238005 13.454856,-18.585515 16.719159,14.265850 18.836542,47.028531 21.776508,79.216162 37.105510,67.302404 -170.679711,23.827683 -133.658759,-9.028061 -131.505447,-41.765706 -128.871557,-74.053660 -119.424178,-72.717324 36.321792,-40.391765 44.872856,-7.643567 47.443691,25.210694 49.613099,57.879721 53.645546,86.354026 148.791156,56.510617 -137.502421
