-0.081521 -95.104381,26.357074 -74.861449,48.308518 -43.611234,54.319722 9.040407,38.365444 51.494925,13.342745 75.444542,-13.496867 94.575326,-38.453813 118.530391,-54.325035 160.911503,-48.350129 -146.589952,-26.485314 -115.352577,8.891153 -28.792745,34.526014 -6.419399,52.898907 32.001713,50.864996 86.091170,30.510772 120.721309,4.411445 141.872469,-22.233837 161.493181,-45.377539 -170.161572,-55.052293 -120.310979,-42.055671 -73.973940,-17.897407 -48.045407,17.750124 37.834017,41.982687 63.760056,55.051935 110.199441,45.320345 160.180592,22.095215 -171.470920,-4.573490 -151.853952,-30.627048 -130.696506,-50.892053 -96.093790,-52.913476 -42.169937,-34.628921 -3.796550,-9.050214 18.583292,26.357074 105.138551,48.308518 136.388766,54.319722 -170.959593,38.365444 -128.505075,13.342745 -104.555458,-13.496867 -85.424674,-38.453813 -61.469609,-54.325035 -19.088497,-48.350129 33.410048,-26.485314 64.647423,-0.081521 84.895619,34.526014 173.580601,52.898907 -147.998287,50.864996 -93.908830,30.510772 -59.278691,4.411445 -38.127531,-22.233837 -18.506819,-45.377539 9.838428,-55.052293 59.689021,-42.055671 106.026060,-17.897407 131.954593,8.891153 151.207255,41.982687 -116.239944,55.051935 -69.800559,45.320345 -19.819408,22.095215 8.529080,-4.573490 28.146048,-30.627048 49.303494,-50.892053 83.906210,-52.913476 137.830063,-34.628921 176.203450,-9.050214 -161.416708,17.750124 -142.165983
54.301829 -24.987131,48.354098 27.698793,26.426039 59.000578,-0.007916 79.256035,-26.416504 99.491760,-48.304683 130.677889,-54.342624 -176.857886,-38.514731 -134.410624,-13.569346 -110.426578,13.270158 -91.295745,38.304220 -67.375033,55.057895 53.848267,42.039768 100.350393,17.821831 126.312391,-8.977106 145.567106,-34.564701 167.924208,-52.885053 -153.766680,-50.929598 -99.831062,-30.693798 -65.169557,-4.646961 -43.994714,22.024671 -24.385786,45.268295 3.919232,52.927347 132.061113,34.590416 170.546947,8.964319 -167.056867,-17.825810 -147.808159,-41.998772 -121.915398,-55.046178 -75.640736,-45.429236 -25.738692,-22.304203 2.650032,4.337938 22.278881,30.443777 43.412739,50.827087 77.983917,48.354098 -152.301207,26.426039 -120.999422,-0.007916 -100.743965,-26.416504 -80.508240,-48.304683 -49.322111,-54.342624 3.142114,-38.514731 45.589376,-13.569346 69.573422,13.270158 88.704255,38.304220 112.624967,54.301829 155.012869,42.039768 -79.649607,17.821831 -53.687609,-8.977106 -34.432894,-34.564701 -12.075792,-52.885053 26.233320,-50.929598 80.168938,-30.693798 114.830443,-4.646961 136.005286,22.024671 155.614214,45.268295 -176.080768,55.057895 -126.151733,34.590416 -9.453053,8.964319 12.943133,-17.825810 32.191841,-41.998772 58.084602,-55.046178 104.359264,-45.429236 154.261308,-22.304203 -177.349968,4.337938 -157.721119,30.443777 -136.587261,50.827087 -102.016083,52.927347 -47.938887
54.628884 -22.047171,47.405053 29.877629,25.018220 60.156402,-1.504431 80.171876,-27.809744 100.676142,-49.205631 132.929351,-53.949119 -173.975244,-37.264616 -132.873481,-12.093279 -109.457980,14.743689 -90.315419,39.537165 -65.785632,54.898065 56.866505,40.864770 102.071990,16.360606 127.326128,-10.461981 146.512626,-35.860993 169.350925,-53.430332 -151.021239,-50.139240 -97.400262,-29.329378 -63.911761,-3.152327 -43.074388,23.454591 -23.288226,46.307862 5.926191,52.317154 134.746152,33.271898 171.930467,7.475223 -166.119371,-19.278153 -146.777269,-43.140679 -120.133510,-55.131881 -72.615937,-44.360097 -23.803796,-20.869082 3.725987,5.831816 23.202919,31.798567 44.705303,51.569871 80.496849,47.405053 -150.122371,25.018220 -119.843598,-1.504431 -99.828124,-27.809744 -79.323858,-49.205631 -47.070649,-53.949119 6.024756,-37.264616 47.126519,-12.093279 70.542020,14.743689 89.684581,39.537165 114.214368,54.628884 157.952829,40.864770 -77.928010,16.360606 -52.673872,-10.461981 -33.487374,-35.860993 -10.649075,-53.430332 28.978761,-50.139240 82.599738,-29.329378 116.088239,-3.152327 136.925612,23.454591 156.711774,46.307862 -174.073809,54.898065 -123.133495,33.271898 -8.069533,7.475223 13.880629,-19.278153 33.222731,-43.140679 59.866490,-55.131881 107.384063,-44.360097 156.196204,-20.869082 -176.274013,5.831816 -156.797081,31.798567 -135.294697,51.569871 -99.503151,52.317154 -45.253848
54.877291 -19.063702,46.411256 31.973401,23.599381 61.283266,-3.000339 81.089074,-29.189878 101.894040,-50.055803 135.266017,-53.481847 -171.153761,-35.991597 -131.390682,-10.612696 -108.501227,16.211729 -89.320150,40.743699 -64.135244,54.657755 59.853779,39.661036 103.728771,14.893160 128.323012,-11.942990 147.468263,-37.136244 170.828386,-53.904949 -148.206418,-49.294415 -95.054906,-27.950635 -62.690316,-1.656510 -42.156973,24.874498 -22.164179,47.306035 8.013641,51.641998 137.351057,31.935365 173.269080,5.983551 -165.189086,-20.722722 -145.726011,-44.249369 -118.280597,-55.136031 -69.584071,-43.254923 -21.943480,-19.425345 4.779422,7.323719 24.132554,33.136852 46.039518,52.251442 83.093405,46.411256 -148.026599,23.599381 -118.716734,-3.000339 -98.910926,-29.189878 -78.105960,-50.055803 -44.733983,-53.481847 8.846239,-35.991597 48.609318,-10.612696 71.498773,16.211729 90.679850,40.743699 115.864756,54.877291 160.936298,39.661036 -76.271229,14.893160 -51.676988,-11.942990 -32.531737,-37.136244 -9.171614,-53.904949 31.793582,-49.294415 84.945094,-27.950635 117.309684,-1.656510 137.843027,24.874498 157.835821,47.306035 -171.986359,54.657755 -120.146221,31.935365 -6.730920,5.983551 14.810914,-20.722722 34.273989,-44.249369 61.719403,-55.136031 110.415929,-43.254923 158.056520,-19.425345 -175.220578,7.323719 -155.867446,33.136852 -133.960482,52.251442 -96.906595,51.641998 -42.648943
55.045361 -16.048061,45.375761 33.988420,22.170438 62.383418,-4.495117 82.009039,-30.555807 103.148020,-50.851851 137.688152,-52.943613 -168.400973,-34.697370 -129.958953,-9.128187 -107.554750,17.673618 -88.308207,41.921718 -62.420393,54.338603 62.798648,38.430684 105.324213,13.420159 129.304780,-13.419543 148.435584,-38.388768 172.359853,-54.306071 -145.329607,-48.398478 -92.794821,-26.558680 -61.502641,-0.160033 -41.241059,26.283480 -21.011404,48.259772 10.183944,50.905278 139.872591,30.582193 174.565746,4.489849 -164.264545,-22.158755 -144.652437,-45.322292 -116.353423,-55.058599 -66.557970,-42.116280 -20.154525,-17.973758 5.812296,8.813102 25.069249,34.457267 47.418336,52.868389 85.770487,45.375761 -146.011580,22.170438 -117.616582,-4.495117 -97.990961,-30.555807 -76.851980,-50.851851 -42.311848,-52.943613 11.599027,-34.697370 50.041047,-9.128187 72.445250,17.673618 91.691793,41.921718 117.579607,55.045361 163.951939,38.430684 -74.675787,13.420159 -50.695220,-13.419543 -31.564416,-38.388768 -7.640147,-54.306071 34.670393,-48.398478 87.205179,-26.558680 118.497359,-0.160033 138.758941,26.283480 158.988596,48.259772 -169.816056,54.338603 -117.201352,30.582193 -5.434254,4.489849 15.735455,-22.158755 35.347563,-45.322292 63.646577,-55.058599 113.442030,-42.116280 159.845475,-17.973758 -174.187704,8.813102 -154.930751,34.457267 -132.581664,52.868389 -94.229513,50.905278 -40.127409
55.131926 -13.012464,44.301477 35.925424,20.732257 63.459006,-5.988237 82.933194,-31.906351 104.440769,-51.590374 140.195044,-52.337479 -165.722956,-33.383514 -128.575120,-7.640324 -106.617018,19.128661 -87.277793,43.068967 -60.637612,53.942717 65.690781,37.175689 106.861762,11.942238 130.273107,-14.891032 149.416203,-39.616753 173.948676,-54.631182 -142.399610,-47.454699 -90.618991,-25.154548 -60.346275,1.336581 -40.325237,27.680567 -19.827556,49.165895 12.438922,50.110444 142.308811,29.213663 175.823302,2.994655 -163.344306,-23.585444 -143.554511,-46.356741 -114.348959,-54.900126 -63.550301,-40.946576 -18.433574,-16.515050 6.826485,10.299408 26.014495,35.758344 48.844824,53.417413 88.523607,44.301477 -144.074576,20.732257 -116.540994,-5.988237 -97.066806,-31.906351 -75.559231,-51.590374 -39.804956,-52.337479 14.277044,-33.383514 51.424880,-7.640324 73.382982,19.128661 92.722207,43.068967 119.362388,55.131926 166.987536,37.175689 -73.138238,11.942238 -49.726893,-14.891032 -30.583797,-39.616753 -6.051324,-54.631182 37.600390,-47.454699 89.381009,-25.154548 119.653725,1.336581 139.674763,27.680567 160.172444,49.165895 -167.561078,53.942717 -114.309219,29.213663 -4.176698,2.994655 16.655694,-23.585444 36.445489,-46.356741 65.651041,-54.900126 116.449699,-40.946576 161.566426,-16.515050 -173.173515,10.299408 -153.985505,35.758344 -131.155176,53.417413 -91.476393,50.110444 -37.691189
55.136374 -9.969679,43.191151 37.787464,19.285651 64.512080,-7.479166 83.862979,-33.240246 105.775096,-52.267962 142.784854,-51.666687 -163.124337,-32.051500 -127.236121,-6.149666 -105.686537,20.576132 -86.227035,44.183035 -58.783491,53.472609 68.521153,35.897891 108.344804,10.460012 131.229616,-16.356825 150.411787,-40.818253 175.598266,-54.878162 -139.426534,-46.466239 -88.525709,-23.739211 -59.218870,2.832813 -39.408103,29.064724 -18.610176,50.021107 14.779716,49.260942 144.658925,27.830971 177.044462,1.498496 -162.426945,-25.001937 -142.430103,-47.349852 -112.264481,-54.661708 -60.573220,-39.748064 -16.777204,-15.049912 7.823791,11.782063 26.969820,37.038505 50.322168,53.895385 91.346815,43.191151 -142.212536,19.285651 -115.487920,-7.479166 -96.137021,-33.240246 -74.224904,-52.267962 -37.215146,-51.666687 16.875663,-32.051500 52.763879,-6.149666 74.313463,20.576132 93.772965,44.183035 121.216509,55.136374 170.030321,35.897891 -71.655196,10.460012 -48.770384,-16.356825 -29.588213,-40.818253 -4.401734,-54.878162 40.573466,-46.466239 91.474291,-23.739211 120.781130,2.832813 140.591897,29.064724 161.389824,50.021107 -165.220284,53.472609 -111.478847,27.830971 -2.955538,1.498496 17.573055,-25.001937 37.569897,-47.349852 67.735519,-54.661708 119.426780,-39.748064 163.222796,-15.049912 -172.176209,11.782063 -153.030180,37.038505 -129.677832,53.895385 -88.653185,49.260942 -35.341075
55.058675 -6.932681,42.047373 39.577801,17.831391 65.544604,-8.967357 84.799855,-34.556135 107.153932,-52.881251 145.454479,-50.934593 -160.608363,-30.702695 -125.939011,-4.656757 -104.761842,22.015263 -85.153981,45.261349 -56.854749,52.931126 71.282170,34.598999 109.776639,8.974074 132.175878,-17.816262 151.424063,-41.991180 177.312063,-55.045348 -136.421601,-45.436122 -86.512713,-22.313583 -58.118183,4.328137 -38.488244,30.434842 -17.356686,50.822022 17.206639,48.360166 146.923147,26.435232 178.231817,0.001898 -161.511050,-26.407327 -141.276982,-48.298615 -110.097676,-54.344955 -57.638052,-38.522849 -15.181971,-13.579008 8.805947,13.260479 27.936792,38.296053 51.853658,54.299430 94.232676,42.047373 -140.422199,17.831391 -114.455396,-8.967357 -95.200145,-34.556135 -72.846068,-52.881251 -34.545521,-50.934593 19.391637,-30.702695 54.060989,-4.656757 75.238158,22.015263 94.846019,45.261349 123.145251,55.058675 173.067319,34.598999 -70.223361,8.974074 -47.824122,-17.816262 -28.575937,-41.991180 -2.687937,-55.045348 43.578399,-45.436122 93.487287,-22.313583 121.881817,4.328137 141.511756,30.434842 162.643314,50.822022 -162.793361,52.931126 -108.717830,26.435232 -1.768183,0.001898 18.488950,-26.407327 38.723018,-48.298615 69.902324,-54.344955 122.361948,-38.522849 164.818029,-13.579008 -171.194053,13.260479 -152.063208,38.296053 -128.146342,54.299430 -85.767324,48.360166 -33.076853
54.899376 -3.914279,40.872571 41.299835,16.370209 66.558457,-10.452256 85.745313,-35.852560 108.580327,-53.426983 148.199444,-50.144604 -158.177004,-29.338373 -124.680969,-3.162132 -103.841492,23.445246 -84.056588,46.301177 -54.848309,52.321371 73.967721,33.280604 111.160464,7.484996 133.113426,-19.268654 152.454826,-43.133297 179.093497,-55.131585 -133.396889,-44.367228 -84.577318,-20.878522 -57.042074,5.822026 -37.564237,31.789735 -16.064387,51.565196 19.719015,47.411425 149.102534,25.027488 179.387839,-1.494619 -160.595213,-27.800649 -140.092811,-49.199885 -107.846770,-53.951943 -54.755037,-37.272890 -13.644461,-12.102973 9.774629,14.734043 28.917025,39.529164 53.442670,54.626994 97.172316,40.872571 -138.700165,16.370209 -113.441543,-10.452256 -94.254687,-35.852560 -71.419673,-53.426983 -31.800556,-50.144604 21.822996,-29.338373 55.319031,-3.162132 76.158508,23.445246 95.943412,46.301177 125.151691,54.899376 176.085721,33.280604 -68.839536,7.484996 -46.886574,-19.268654 -27.545174,-43.133297 -0.906503,-55.131585 46.603111,-44.367228 95.422682,-20.878522 122.957926,5.822026 142.435763,31.789735 163.935613,51.565196 -160.280985,52.321371 -106.032279,25.027488 -0.612161,-1.494619 19.404787,-27.800649 39.907189,-49.199885 72.153230,-53.951943 125.244963,-37.272890 166.355539,-12.102973 -170.225371,14.734043 -151.082975,39.529164 -126.557330,54.626994 -82.827684,47.411425 -30.897466
54.659589 -0.926764,39.669018 42.957030,14.902802 67.555445,-11.933292 86.700879,-37.127954 110.057444,-53.902073 151.013832,-49.300125 -155.831088,-27.959721 -123.459293,-1.666321 -102.924064,24.865221 -82.932721,47.299631 -52.761395,51.646630 76.573163,31.944184 112.499361,5.993339 134.043753,-20.713277 153.505944,-44.242213 -179.054066,-55.136270 -130.365028,-43.262282 -82.716523,-19.434839 -55.988497,7.313944 -36.634644,33.128133 -14.730453,52.247179 22.315031,46.417911 151.198843,23.608718 -179.485115,-2.990532 -159.678029,-29.180873 -138.875142,-50.050401 -105.510665,-53.485145 -51.933127,-36.000015 -12.161316,-10.622418 10.731453,16.202122 29.912191,40.735878 55.092647,54.875922 100.155536,39.669018 -137.042970,14.902802 -112.444555,-11.933292 -93.299121,-37.127954 -69.942556,-53.902073 -28.986168,-49.300125 24.168912,-27.959721 56.540707,-1.666321 77.075936,24.865221 97.067279,47.299631 127.238605,54.659589 179.073236,31.944184 -67.500639,5.993339 -45.956247,-20.713277 -26.494056,-44.242213 0.945934,-55.136270 49.634972,-43.262282 97.283477,-19.434839 124.011503,7.313944 143.365356,33.128133 165.269547,52.247179 -157.684969,51.646630 -103.426837,23.608718 0.514885,-2.990532 20.321971,-29.180873 41.124858,-50.050401 74.489335,-53.485145 128.066873,-36.000015 167.838684,-10.622418 -169.268547,16.202122 -150.087809,40.735878 -124.907353,54.875922 -79.844464,46.417911 -28.801157
54.340948 2.018418,38.438834 44.552862,13.429834 68.537307,-13.409877 87.668118,-38.380632 111.588547,-54.303685 153.890264,-48.404512 -153.570446,-26.567848 -122.271405,-0.169847 -102.008144,26.274279 -81.780142,48.253670 -50.591642,50.910302 79.095252,30.591117 113.796293,4.499649 134.968327,-22.149368 154.579365,-45.315379 -177.127389,-55.059372 -127.338848,-42.123850 -80.927111,-17.983301 -54.955494,8.803345 -35.698000,34.448670 -13.351938,52.864562 24.991598,45.382681 153.214383,22.179840 -178.384794,-4.485320 -158.758086,-30.546899 -137.621407,-50.846815 -103.089089,-52.947367 -49.179867,-34.705922 -10.729263,-9.137933 11.677993,17.664053 30.924018,41.914091 56.807063,55.044523 103.171004,38.438834 -135.447138,13.429834 -111.462693,-13.409877 -92.331882,-38.380632 -68.411453,-54.303685 -26.109736,-48.404512 26.429554,-26.567848 57.728595,-0.169847 77.991856,26.274279 98.219858,48.253670 129.408358,54.340948 -177.981582,30.591117 -66.203707,4.499649 -45.031673,-22.149368 -25.420635,-45.315379 2.872611,-55.059372 52.661152,-42.123850 99.072889,-17.983301 125.044506,8.803345 144.302000,34.448670 166.648062,52.864562 -155.008402,50.910302 -100.904748,22.179840 1.615206,-4.485320 21.241914,-30.546899 42.378593,-50.846815 76.910911,-52.947367 130.820133,-34.705922 169.270737,-9.137933 -168.322007,17.664053 -149.075982,41.914091 -123.192937,55.044523 -76.828996,45.382681 -26.785617
