25.073824 55.545006,-32.661586 101.078986,-49.152684 -159.097344,3.978193 -102.661520,53.075863 -37.499928,5.741743 130.546743,-48.080651 -174.570025,-34.222264 -73.712912,23.398515 -27.898379,53.686246 63.187058,-13.954722 -155.471854,-55.130048 -77.301646,-15.688594 3.281681,40.936492 51.723771,42.317997 155.207317,-32.661586 -78.921014,-49.152684 20.902656,3.978193 77.338480,53.075863 142.500072,25.073824 -124.454994,-48.080651 5.429975,-34.222264 106.287088,23.398515 152.101621,53.686246 -116.812942,5.741743 -49.453257,-55.130048 102.698354,-15.688594 -176.718319,40.936492 -128.276229,42.317997 -24.792683,-13.954722 24.528146
23.655400 56.672966,-33.985488 102.438074,-48.248779 -156.850994,5.472466 -101.738612,53.599425 -34.720579,4.247764 131.470490,-48.993327 -172.338932,-32.901648 -72.345714,24.818833 -26.775415,53.175472 65.979111,-15.424216 -154.485995,-55.137412 -74.269816,-14.220122 4.270225,42.109685 53.449390,41.150249 156.945032,-33.985488 -77.561926,-48.248779 23.149006,5.472466 78.261388,53.599425 145.279421,23.655400 -123.327034,-48.993327 7.661068,-32.901648 107.654286,24.818833 153.224585,53.175472 -114.020889,4.247764 -48.529510,-55.137412 105.730184,-14.220122 -175.729775,42.109685 -126.550610,41.150249 -23.054968,-15.424216 25.514005
22.226839 57.774128,-35.290574 103.843380,-47.297552 -154.688667,6.964894 -100.810457,54.050858 -31.873674,2.752377 132.390167,-49.856022 -170.022829,-31.563381 -71.022267,26.228263 -25.623814,52.595049 68.698177,-16.887778 -153.484550,-55.063182 -71.243247,-12.746244 5.244571,43.251727 55.243498,39.953231 158.617093,-35.290574 -76.156620,-47.297552 25.311333,6.964894 79.189543,54.050858 148.126326,22.226839 -122.225872,-49.856022 9.977171,-31.563381 108.977733,26.228263 154.376186,52.595049 -111.301823,2.752377 -47.609833,-55.063182 108.756753,-12.746244 -174.755429,43.251727 -124.756502,39.953231 -21.382907,-16.887778 26.515450
20.789005 58.850642,-36.575325 105.298016,-46.302143 -152.608554,8.454934 -99.875596,54.427394 -28.967177,1.256112 133.307195,-50.665405 -167.621237,-30.208796 -69.739669,27.625838 -24.441235,51.948190 71.338979,-18.344737 -152.465769,-54.907881 -68.234619,-11.267584 6.206363,44.360183 57.109486,38.729099 160.226980,-36.575325 -74.701984,-46.302143 27.391446,8.454934 80.124404,54.427394 151.032823,20.789005 -121.149358,-50.665405 12.378763,-30.208796 110.260331,27.625838 155.558765,51.948190 -108.661021,1.256112 -46.692805,-54.907881 111.765381,-11.267584 -173.793637,44.360183 -122.890514,38.729099 -19.773020,-18.344737 27.534231
19.342716 59.904565,-37.838109 106.805206,-45.265554 -150.608319,9.942032 -98.932546,54.726618 -26.010462,-0.240508 134.222985,-51.418084 -165.134619,-28.839135 -68.495144,29.010523 -23.225222,51.238255 73.897673,-19.794393 -151.427831,-54.672581 -65.256113,-9.784738 7.157190,45.432453 59.050611,37.479862 161.778149,-37.838109 -73.194794,-45.265554 29.391681,9.942032 81.067454,54.726618 153.989538,19.342716 -120.095435,-51.418084 14.865381,-28.839135 111.504856,29.010523 156.774778,51.238255 -106.102327,-0.240508 -45.777015,-54.672581 114.743887,-9.784738 -172.842810,45.432453 -120.949389,37.479862 -18.221851,-19.794393 28.572169
17.888743 60.937861,-39.077171 108.368262,-44.190640 -148.685217,11.425619 -97.979788,54.946535 -23.014164,-1.736963 135.138945,-52.110646 -162.564530,-27.455556 -67.286034,30.381215 -21.973203,50.468679 76.371762,-21.236006 -150.368840,-54.358874 -62.319095,-8.298288 8.098602,46.465780 61.069906,36.207390 163.274004,-39.077171 -71.631738,-44.190640 31.314783,11.425619 82.020212,54.946535 156.985836,17.888743 -119.062139,-52.110646 17.435470,-27.455556 112.713966,30.381215 158.026797,50.468679 -103.628238,-1.736963 -44.861055,-54.358874 117.680905,-8.298288 -171.901398,46.465780 -118.930094,36.207390 -16.725996,-21.236006 29.631160
16.427820 61.952414,-40.290625 109.990572,-43.080101 -146.836207,12.905110 -97.015765,55.085636 -19.989967,-3.232729 136.056480,-52.739712 -159.913758,-26.059141 -66.109804,31.736731 -20.682483,49.642916 78.759962,-22.668801 -149.286818,-53.968817 -59.433850,-6.808798 9.032105,47.457250 63.170089,34.913425 164.717866,-40.290625 -70.009428,-43.080101 33.163793,12.905110 82.984235,55.085636 160.010033,16.427820 -118.047586,-52.739712 20.086242,-26.059141 113.890196,31.736731 159.317517,49.642916 -101.240038,-3.232729 -43.943520,-53.968817 120.566150,-6.808798 -170.967895,47.457250 -116.829911,34.913425 -15.282134,-22.668801 30.713182
14.960645 62.950033,-41.476448 111.675567,-41.936476 -145.058043,14.379899 -96.038874,55.142948 -16.950322,-4.727285 136.977003,-53.301991 -157.186438,-24.650904 -64.964033,33.075803 -19.350242,48.764388 81.062061,-24.091953 -148.179695,-53.504872 -56.609384,-5.316816 9.959178,48.403800 65.353447,33.599584 166.112958,-41.476448 -68.324433,-41.936476 34.941957,14.379899 83.961126,55.142948 163.049678,14.960645 -117.049967,-53.301991 22.813562,-24.650904 115.035967,33.075803 160.649758,48.764388 -98.937939,-4.727285 -43.022997,-53.504872 123.390616,-5.316816 -170.040822,48.403800 -114.646553,33.599584 -13.887042,-24.091953 31.820305
13.487884 63.932457,-42.632467 113.426688,-40.762151 -143.347355,15.849357 -95.047457,55.118066 -13.908113,-6.220100 137.901938,-53.794351 -154.388138,-23.231794 -63.846411,34.397070 -17.973539,47.836445 83.278764,-25.504593 -147.045305,-52.969830 -53.853298,-3.822884 10.881272,49.302229 67.621706,32.267373 167.462392,-42.632467 -66.573312,-40.762151 36.652645,15.849357 84.952543,55.118066 166.091887,13.487884 -116.067543,-53.794351 25.611862,-23.231794 116.153589,34.397070 162.026461,47.836445 -96.721236,-6.220100 -42.098062,-52.969830 126.146702,-3.822884 -169.118728,49.302229 -112.378294,32.267373 -12.537608,-25.504593 32.954695
12.010176 64.901366,-43.756362 115.247335,-39.559355 -141.700711,17.312829 -94.039801,55.011166 -10.876299,-7.710639 138.832728,-54.213890 -151.525886,-21.802705 -62.754732,35.699068 -16.549308,46.862334 85.411536,-26.905792 -145.881382,-52.366743 -51.171737,-2.327533 11.799817,50.149227 69.975888,30.918192 168.769159,-43.756362 -64.752665,-39.559355 38.299289,17.312829 85.960199,55.011166 169.123701,12.010176 -115.098634,-54.213890 28.474114,-21.802705 117.245268,35.699068 163.450692,46.862334 -94.588464,-7.710639 -41.167272,-52.366743 128.828263,-2.327533 -168.200183,50.149227 -110.024112,30.918192 -11.230841,-26.905792 34.118618
10.528135 65.858382,-44.845653 117.140812,-38.330169 -140.114672,18.769631 -93.014124,54.823000 -7.867542,-9.198356 139.770839,-54.558006 -148.608144,-20.364478 -61.686891,36.980225 -15.074369,45.845173 87.462458,-28.294563 -144.685549,-51.698846 -48.569392,-0.831288 12.716230,50.941395 72.416162,29.553344 170.036127,-44.845653 -62.859188,-38.330169 39.885328,18.769631 86.985876,54.823000 172.132458,10.528135 -114.141618,-54.558006 31.391856,-20.364478 118.313109,36.980225 164.925631,45.845173 -92.537542,-9.198356 -40.229161,-51.698846 131.430608,-0.831288 -167.283770,50.941395 -107.583838,29.553344 -9.963873,-28.294563 35.314451
9.042354 66.805081,-45.897703 119.110252,-37.076533 -138.585829,20.219044 -91.968575,54.554871 -4.893867,-10.682692 140.717767,-54.824475 -145.644713,-18.917907 -60.640874,38.238850 -13.545438,44.787937 89.434093,-29.669852 -143.455314,-50.969491 -46.049572,0.665329 13.631919,51.675286 74.941687,28.174047 171.266039,-45.897703 -60.889748,-37.076533 41.414171,20.219044 88.031425,54.554871 175.106133,9.042354 -113.194919,-54.824475 34.355287,-18.917907 119.359126,38.238850 166.454562,44.787937 -90.565907,-10.682692 -39.282233,-50.969491 133.950428,0.665329 -166.368081,51.675286 -105.058313,28.174047 -8.733961,-29.669852 36.544686
7.553408 67.742996,-46.909719 121.158528,-35.800251 -137.110838,21.660310 -90.901219,54.208587 -1.966353,-12.163075 141.675043,-55.011514 -142.646559,-17.463745 -59.614752,39.473125 -11.959141,43.693447 91.329363,-31.030532 -142.188071,-50.182085 -43.614303,2.161797 14.548291,52.347451 77.550458,26.781433 172.461516,-46.909719 -58.841472,-35.800251 42.889162,21.660310 89.098781,54.208587 178.033647,7.553408 -112.257004,-55.011514 37.353441,-17.463745 120.385248,39.473125 168.040859,43.693447 -88.670637,-12.163075 -38.324957,-50.182085 136.385697,2.161797 -165.451709,52.347451 -102.449542,26.781433 -7.538484,-31.030532 37.811929
6.061857 68.673622,-47.878755 123.288153,-34.503005 -135.686437,23.092633 -89.810038,53.786407 0.905109,-13.638914 142.644240,-55.117840 -139.625578,-16.002708 -58.606676,40.681095 -10.312039,42.564363 93.151447,-32.375395 -140.881089,-49.340033 -41.264461,3.657593 15.466753,52.954494 80.239178,25.376564 173.625060,-47.878755 -56.711847,-34.503005 44.313563,23.092633 90.189962,53.786407 -179.094891,6.061857 -111.326378,-55.117840 40.374422,-16.002708 121.393324,40.681095 169.687961,42.564363 -86.848553,-13.638914 -37.355760,-49.340033 138.735539,3.657593 -164.533247,52.954494 -99.760822,25.376564 -6.374940,-32.375395 39.118911
4.568249 69.598429,-48.801723 125.501158,-33.186357 -134.309469,24.515165 -88.692920,53.290968 3.711984,-15.109596 143.626980,-55.142712 -136.594292,-14.535478 -57.614870,41.860665 -8.600656,41.403186 94.903691,-33.703144 -139.531516,-48.446695 -38.999922,5.152192 16.388722,53.493134 83.003144,23.960432 174.759056,-48.801723 -54.498842,-33.186357 45.690531,24.515165 91.307080,53.290968 -176.288016,4.568249 -110.401571,-55.142712 43.405708,-14.535478 122.385130,41.860665 171.399344,41.403186 -85.096309,-15.109596 -36.373020,-48.446695 141.000078,5.152192 -163.611278,53.493134 -96.996856,23.960432 -5.240944,-33.703144 40.468484
3.073119 70.518858,-49.675413 127.798963,-31.851759 -132.976888,25.927009 -87.547653,52.725214 6.447195,-16.574485 144.624937,-55.085954 -133.565516,-13.062706 -56.637619,43.009587 -6.821523,40.212258 96.589537,-35.012389 -138.136379,-47.505346 -36.819709,6.645060 17.315630,53.960277 85.836185,22.533970 175.865780,-49.675413 -52.201037,-31.851759 47.023112,25.927009 92.452347,52.725214 -173.552805,3.073119 -109.481142,-55.085954 46.434484,-13.062706 123.362381,43.009587 173.178477,40.212258 -83.410463,-16.574485 -35.375063,-47.505346 143.180291,6.645060 -162.684370,53.960277 -94.163815,22.533970 -4.134220,-35.012389 41.863621
1.576998 71.436335,-50.496512 130.182228,-30.500566 -131.685770,27.327210 -86.371919,52.092322 9.105150,-18.032918 145.639850,-54.947964 -130.551993,-11.585020 -55.673271,44.125457 -4.971228,38.993765 98.212463,-36.301634 -136.692588,-46.519153 -34.722148,8.135659 18.248929,54.353090 88.730647,21.098054 176.947403,-50.496512 -49.817772,-30.500566 48.314230,27.327210 93.628081,52.092322 -170.894850,1.576998 -108.563665,-54.947964 49.448007,-11.585020 124.326729,44.125457 175.028772,38.993765 -81.787537,-18.032918 -34.360150,-46.519153 145.277852,8.135659 -161.751071,54.353090 -91.269353,21.098054 -3.052597,-36.301634 43.307412
0.080410 72.352272,-51.261637 132.650706,-29.134037 -130.433308,28.714750 -85.163288,51.395625 11.681705,-19.484200 146.673523,-54.729701 -127.566038,-10.103022 -54.720224,45.205713 -3.046479,37.749749 99.775934,-37.569271 -135.196943,-45.491149 -32.705004,9.623435 19.190096,54.669075 91.677450,19.653511 178.006002,-51.261637 -47.349294,-29.134037 49.566692,28.714750 94.836712,51.395625 -168.318295,0.080410 -107.647728,-54.729701 52.433962,-10.103022 125.279776,45.205713 176.953521,37.749749 -80.224066,-19.484200 -33.326477,-45.491149 147.294996,9.623435 -160.809904,54.669075 -88.322550,19.653511 -1.993998,-37.569271 44.803057
-1.416124 73.268077,-51.967376 135.203088,-27.753348 -129.216822,30.088540 -83.919212,50.638546 14.174083,-20.927602 147.727836,-54.432648 -124.619218,-8.617297 -53.776922,46.247631 -1.044187,36.482109 101.283367,-38.813574 -133.646150,-44.424220 -30.765611,11.107824 20.140643,54.906142 94.666212,18.201123 179.043559,-51.967376 -44.796912,-27.753348 50.783178,30.088540 96.080788,50.638546 -165.825917,-1.416124 -106.731923,-54.432648 55.380782,-8.617297 126.223078,46.247631 178.955813,36.482109 -78.716633,-20.927602 -32.272164,-44.424220 149.234389,11.107824 -159.859357,54.906142 -85.333788,18.201123 -0.956441,-38.813574 46.353850
-2.912082 74.185156,-52.610338 137.836860,-26.359598 -128.033750,31.447414 -82.637023,49.824541 16.580751,-22.362355 148.804748,-54.058768 -121.722067,-7.128412 -52.841848,47.248330 1.038442,35.192612 102.738102,-40.032685 -132.036833,-43.321100 -28.900981,12.588243 21.102117,55.062673 97.685454,16.741630 -179.938023,-52.610338 -42.163140,-26.359598 51.966250,31.447414 97.362977,49.824541 -163.419249,-2.912082 -105.814844,-54.058768 58.277933,-7.128412 127.158152,47.248330 -178.961558,35.192612 -77.261898,-22.362355 -31.195252,-43.321100 151.099019,12.588243 -158.897883,55.062673 -82.314546,16.741630 0.061977,-40.032685 47.963167
-4.406941 75.104918,-53.187209 140.548185,-24.953814 -126.881646,32.790123 -81.313930,48.957042 18.901282,-23.787647 149.906310,-53.610441 -118.883879,-5.636919 -51.913520,48.204776 3.203799,33.882903 104.143386,-41.224610 -130.365570,-42.184364 -27.107906,14.064092 22.076112,55.137577 100.722863,15.275739 -178.936922,-53.187209 -39.451815,-24.953814 53.118354,32.790123 98.686070,48.957042 -161.098718,-4.406941 -104.895082,-53.610441 61.116121,-5.636919 128.086480,48.204776 -176.796201,33.882903 -75.856614,-23.787647 -30.093690,-42.184364 152.892094,14.064092 -157.923888,55.137577 -79.277137,15.275739 1.063078,-41.224610 49.634430
-5.900174 76.028786,-53.694815 143.331808,-23.536959 -125.758177,34.115327 -79.947014,48.039418 21.136196,-25.202617 151.034666,-53.090395 -116.112563,-4.143360 -50.990479,49.113800 5.453741,32.554509 105.502354,-42.387211 -128.628917,-41.016429 -25.383037,15.534748 23.064271,55.130324 103.765616,13.804121 -177.951383,-53.694815 -36.668192,-23.536959 54.241823,34.115327 100.052986,48.039418 -158.863804,-5.900174 -103.971214,-53.090395 63.887437,-4.143360 129.009521,49.113800 -174.546259,32.554509 -74.497646,-25.202617 -28.965334,-41.016429 154.616963,15.534748 -156.935729,55.130324 -76.234384,13.804121 2.048617,-42.387211 51.371083
-7.391247 76.958198,-54.130199 146.181012,-22.109937 -124.661116,35.421585 -78.533238,47.074939 23.286809,-26.606350 152.192060,-52.501632 -113.414577,-2.648269 -50.071293,49.972110 7.789453,31.208854 106.818024,-43.518197 -126.823461,-39.819557 -23.722951,16.999560 24.068298,55.040967 106.800741,12.327421 -176.979715,-54.130199 -33.818988,-22.109937 55.338884,35.421585 101.466762,47.074939 -156.713191,-7.391247 -103.041802,-52.501632 66.585423,-2.648269 129.928707,49.972110 -172.210547,31.208854 -73.181976,-26.606350 -27.807940,-39.819557 156.277049,16.999560 -155.931702,55.040967 -73.199259,12.327421 3.020285,-43.518197 53.176539
-8.879616 77.894615,-54.490688 149.087637,-20.673601 -123.588336,36.707350 -77.069446,46.066753 25.355081,-27.997873 153.380845,-51.847352 -110.794922,-1.152171 -49.154542,50.776324 10.211301,29.847261 108.093291,-44.615125 -124.945871,-38.595862 -22.124205,18.457852 25.089957,54.870135 109.815481,10.846258 -176.020283,-54.490688 -30.912363,-20.673601 56.411664,36.707350 102.930554,46.066753 -154.644919,-8.879616 -102.105385,-51.847352 69.205078,-1.152171 130.845458,50.776324 -169.788699,29.847261 -71.906709,-27.997873 -26.619155,-38.595862 157.875795,18.457852 -154.910043,54.870135 -70.184519,10.846258 3.979717,-44.615125 55.054129
-10.364725 78.839525,-54.773973 152.042158,-19.228754 -122.537804,37.970955 -75.552374,45.017868 27.343482,-29.376145 154.603487,-51.130890 -108.257194,0.344410 -48.238815,51.523002 12.718672,28.470963 109.330924,-45.675390 -122.992972,-37.347312 -20.583382,19.908911 26.131085,54.619016 112.797648,9.361230 -175.071502,-54.773973 -27.957842,-19.228754 57.462196,37.970955 104.447626,45.017868 -152.656518,-10.364725 -101.160475,-51.130890 71.742806,0.344410 131.761185,51.523002 -167.281328,28.470963 -70.669076,-29.376145 -25.396513,-37.347312 159.416618,19.908911 -153.868915,54.619016 -67.202352,9.361230 4.928498,-45.675390 57.007028
-11.846005 79.794451,-54.978170 155.033841,-17.776158 -121.507575,39.210610 -73.978665,43.931136 29.254866,-30.740057 155.862569,-50.355644 -105.803684,1.840954 -47.322709,52.208692 15.309825,27.081113 110.533571,-46.696234 -120.961826,-36.075741 -19.097121,21.351990 27.193599,54.289315 115.735938,7.872915 -174.131831,-54.978170 -24.966159,-17.776158 58.492425,39.210610 106.021335,43.931136 -150.745134,-11.846005 -100.205549,-50.355644 74.196316,1.840954 132.677291,52.208692 -164.690175,27.081113 -69.466429,-30.740057 -24.137431,-36.075741 160.902879,21.351990 -152.806401,54.289315 -64.264062,7.872915 5.868169,-46.696234 59.038174
-13.322869 80.760957,-55.101885 158.050966,-16.316537 -120.495782,40.424393 -72.344893,42.809254 31.092365,-32.088417 157.160794,-49.525024 -103.435504,3.336938 -46.404814,52.829980 17.981748,25.678786 111.703757,-47.674741 -118.849834,-34.782855 -17.662142,22.786300 28.279496,53.883199 118.620186,6.381877 -173.199766,-55.101885 -21.949034,-16.316537 59.504218,40.424393 107.655107,42.809254 -148.907635,-13.322869 -99.239043,-49.525024 76.564496,3.336938 133.595186,52.829980 -162.018252,25.678786 -68.296243,-32.088417 -22.839206,-34.782855 162.337858,22.786300 -151.720504,53.883199 -61.379814,6.381877 6.800234,-47.674741 61.150166
-14.794709 81.740653,-55.144257 161.081117,-14.850579 -119.500633,41.610237 -70.647587,41.654756 32.859297,-33.419949 158.500988,-48.642404 -101.152728,4.831838 -45.483717,53.383555 20.730049,24.264989 112.843893,-48.607854 -116.654850,-33.470240 -16.275263,24.211005 29.390870,53.403230 121.441556,4.888664 -172.273834,-55.144257 -18.918883,-14.850579 60.499367,41.610237 109.352413,41.654756 -147.140703,-14.794709 -98.259347,-48.642404 78.847272,4.831838 134.516283,53.383555 -159.269951,24.264989 -67.156107,-33.419949 -21.499012,-33.470240 163.724737,24.211005 -150.609130,53.403230 -58.558444,4.888664 7.726166,-48.607854 63.345150
-16.260895 82.735204,-55.104988 164.111512,-13.378942 -118.520402,42.765927 -68.883272,40.470018 34.559088,-34.733284 159.886099,-47.711079 -98.954553,6.325123 -44.557989,53.866278 23.548873,22.840666 113.956279,-49.492386 -114.375312,-32.139374 -14.933416,25.625220 30.529909,52.852293 124.192655,3.393816 -171.352587,-55.104988 -15.888488,-13.378942 61.479598,42.765927 111.116728,40.470018 -145.440912,-16.260895 -97.264796,-47.711079 81.045447,6.325123 135.442011,53.866278 -156.451127,22.840666 -66.043721,-34.733284 -20.113901,-32.139374 165.066584,25.625220 -149.470091,52.852293 -55.807345,3.393816 8.647413,-49.492386 65.624688
-17.720770 83.746332,-54.984355 167.129363,-11.902258 -117.553424,43.889095 -67.048518,39.257259 36.195213,-36.026949 161.319191,-46.734242 -96.839441,7.816254 -43.626184,54.275252 26.430882,21.406706 115.043106,-50.325045 -112.010384,-30.791630 -13.633647,27.028001 31.698910,52.233520 126.867573,1.897863 -170.434596,-54.984355 -12.870637,-11.902258 62.446576,43.889095 112.951482,39.257259 -143.804787,-17.720770 -96.253668,-46.734242 83.160559,7.816254 136.373816,54.275252 -153.569118,21.406706 -64.956894,-36.026949 -18.680809,-30.791630 166.366353,27.028001 -148.301090,52.233520 -53.132427,1.897863 9.565404,-50.325045 67.989616
-19.173646 84.775826,-54.783196 170.122233,-10.421135 -116.598087,44.977212 -65.140002,38.018551 37.771143,-37.299361 162.803443,-45.714955 -94.805265,9.304682 -42.686830,54.607902 29.367294,19.963946 116.106472,-51.102459 -109.560106,-29.428288 -12.373127,28.418345 32.900276,51.550218 129.461862,0.401331 -169.518447,-54.783196 -9.877767,-10.421135 63.401913,44.977212 114.859998,38.018551 -142.228857,-19.173646 -95.224174,-45.714955 85.194735,9.304682 137.313170,54.607902 -150.632706,19.963946 -63.893528,-37.299361 -17.196557,-29.428288 167.626873,28.418345 -147.099724,51.550218 -50.538138,0.401331 10.481553,-51.102459 70.439894
-20.618801 85.825551,-54.502888 173.078371,-8.936161 -115.652824,46.027588 -63.154585,36.755824 39.290307,-38.548819 164.342129,-44.656137 -92.849442,10.789846 -41.738423,54.862044 32.347993,18.513176 117.148378,-51.821220 -107.025547,-28.050540 -11.149146,29.795178 34.136531,50.805796 131.972459,-1.095258 -168.602732,-54.502888 -6.921629,-8.936161 64.347176,46.027588 116.845415,36.755824 -140.709693,-20.618801 -94.174449,-44.656137 87.150558,10.789846 138.261577,54.862044 -147.652007,18.513176 -62.851622,-38.548819 -15.657871,-28.050540 168.850854,29.795178 -145.863469,50.805796 -48.027541,-1.095258 11.397268,-51.821220 72.974453
-22.055475 86.897448,-54.145295 175.987000,-7.447906 -114.716112,47.037376 -61.089399,35.470871 40.756065,-39.773495 165.938610,-43.560555 -90.969045,12.271166 -40.779425,55.035955 35.361712,17.055146 118.170743,-52.477926 -104.408951,-26.659502 -9.959119,31.157353 35.410316,50.003707 134.397577,-2.591384 -167.686045,-54.145295 -4.013000,-7.447906 65.283888,47.037376 118.910601,35.470871 -139.243935,-22.055475 -93.102552,-43.560555 89.030955,12.271166 139.220575,55.035955 -144.638288,17.055146 -61.829257,-39.773495 -14.061390,-26.659502 170.040881,31.157353 -144.589684,50.003707 -45.602423,-2.591384 12.313955,-52.477926 75.591049
-23.482866 87.993547,-53.712713 178.838547,-5.956926 -113.786460,48.003573 -58.941957,34.165363 42.171685,-40.971425 167.596300,-42.430818 -89.160905,13.748047 -39.808252,55.128426 38.396293,15.590569 119.175408,-53.069241 -101.713862,-25.256215 -8.800575,32.503638 36.724398,49.147392 136.736564,-4.086523 -166.766978,-53.712713 -1.161453,-5.956926 66.213540,48.003573 121.058043,34.165363 -137.828315,-23.482866 -92.006453,-42.430818 90.839095,13.748047 140.191748,55.128426 -141.603707,15.590569 -60.824592,-40.971425 -12.403700,-25.256215 171.199425,32.503638 -143.275602,49.147392 -43.263436,-4.086523 13.233022,-53.069241 78.286138
-24.900125 89.115972,-53.207801 -178.375205,-4.463765 -112.862407,48.923039 -56.710278,32.840853 43.540326,-42.140501 169.318643,-41.269377 -87.421698,15.219870 -38.823271,55.138805 41.438994,14.120124 120.164139,-53.591957 -98.945226,-23.841656 -7.671157,33.832714 38.081665,48.240237 138.989751,-5.580150 -165.844110,-53.207801 1.624795,-4.463765 67.137593,48.923039 123.289722,32.840853 -136.459674,-24.900125 -90.884028,-41.269377 92.578302,15.219870 141.176729,55.138805 -138.561006,14.120124 -59.835861,-42.140501 -10.681357,-23.841656 172.328843,33.832714 -141.918335,48.240237 -41.010249,-5.580150 14.155890,-53.591957 81.054774
-26.306347 90.266945,-52.633508 -175.661025,-2.968958 -111.942515,49.792505 -54.393018,31.498784 44.865033,-43.278467 171.109061,-40.078527 -85.748011,16.685992 -37.822793,55.067020 44.476842,12.644460 121.138642,-54.043063 -96.109446,-22.416741 -6.568616,35.143161 39.485130,47.285535 141.158294,-7.071731 -164.916009,-52.633508 4.338975,-2.968958 68.057485,49.792505 125.606982,31.498784 -135.134967,-26.306347 -89.733055,-40.078527 94.251989,16.685992 142.177207,55.067020 -135.523158,12.644460 -58.861358,-43.278467 -8.890939,-22.416741 173.431384,35.143161 -140.514870,47.285535 -38.841706,-7.071731 15.083991,-54.043063 83.890554
-27.700573 91.448795,-51.992999 -173.024224,-1.473032 -111.025361,50.608608 -51.989624,30.140501 46.148725,-44.382911 172.970910,-38.860413 -84.136401,18.145740 -36.805067,54.913577 47.497004,11.164204 122.100563,-54.419820 -93.214376,-20.982332 -5.490804,36.433456 40.937927,46.286463 143.244030,-8.560726 -163.981219,-51.992999 6.975776,-1.473032 68.974639,50.608608 128.010376,30.140501 -133.851275,-27.700573 -88.551205,-38.860413 95.863599,18.145740 143.194933,54.913577 -132.502996,11.164204 -57.899437,-44.382911 -7.029090,-20.982332 174.509196,36.433456 -139.062073,46.286463 -36.755970,-8.560726 16.018781,-54.419820 86.785624
-29.081778 92.663964,-51.289585 -170.468693,0.023489 -110.109533,51.367914 -49.500486,28.767257 47.394201,-45.451266 174.907403,-37.617033 -82.583444,19.598412 -35.768272,54.679547 50.487142,9.679955 123.051497,-54.719833 -90.269259,-19.539245 -4.435668,37.701959 42.443294,45.246059 145.249328,-10.046581 -163.038257,-51.289585 9.531307,0.023489 69.890467,51.367914 130.499514,28.767257 -132.605799,-29.081778 -87.336036,-37.617033 97.416556,19.598412 144.231728,54.679547 -129.512858,9.679955 -56.948503,-45.451266 -5.092597,-19.539245 175.564332,37.701959 -137.556706,45.246059 -34.750672,-10.046581 16.961743,-54.719833 89.730741
-30.448866 93.915009,-50.526656 -167.996993,1.520085 -109.193626,52.066971 -46.927090,27.380220 48.604132,-46.480802 176.921539,-36.350250 -81.085762,21.043268 -34.710510,54.366528 53.435738,8.192297 123.992993,-54.941124 -87.284587,-18.088249 -3.401245,38.946907 44.004572,44.167210 147.176971,-11.528731 -162.085609,-50.526656 12.003007,1.520085 70.806374,52.066971 133.072910,27.380220 -131.395868,-30.448866 -86.084991,-36.350250 98.914238,21.043268 145.289490,54.366528 -126.564262,8.192297 -56.007007,-46.480802 -3.078461,-18.088249 176.598755,38.946907 -135.995428,44.167210 -32.823029,-11.528731 17.914391,-54.941124 92.715413
-31.800666 95.204607,-49.707624 -165.610476,3.016233 -108.276233,52.702352 -44.272164,25.980481 49.781072,-47.468640 179.015998,-35.061797 -79.640058,22.479526 -33.629799,53.976594 56.332366,6.701796 124.926564,-55.082187 -84.271891,-16.630075 -2.385652,40.166407 45.625173,43.052646 149.030038,-13.006592 -161.121720,-49.707624 14.389524,3.016233 71.723767,52.702352 135.727836,25.980481 -130.218928,-31.800666 -84.795393,-35.061797 100.359942,22.479526 146.370201,53.976594 -123.667634,6.701796 -55.073436,-47.468640 -0.984002,-16.630075 177.614348,40.166407 -134.374827,43.052646 -30.969962,-13.006592 18.878280,-55.082187 95.728109
-33.135918 96.535558,-48.835874 -163.309428,4.511410 -107.355943,53.270718 -41.539798,24.569062 50.927455,-48.411751 -178.806968,-33.753285 -78.243128,23.906364 -32.524069,53.512227 59.167892,5.209004 125.853688,-55.142046 -81.243463,-15.165419 -1.387082,41.358423 47.308563,41.904937 150.811816,-14.479562 -160.144990,-48.835874 16.690572,4.511410 72.644057,53.270718 138.460202,24.569062 -129.072545,-33.135918 -83.464442,-33.753285 101.756872,23.906364 147.475931,53.512227 -120.832108,5.209004 -54.146312,-48.411751 1.193032,-15.165419 178.612918,41.358423 -132.691437,41.904937 -29.188184,-14.479562 19.855010,-55.142046 98.756537
-34.453276 97.910782,-47.914720 -161.093219,6.005086 -106.431329,53.768887 -38.735529,23.146919 52.045602,-49.306975 -176.545658,-32.426214 -76.891878,25.322905 -31.391151,52.976251 61.934608,3.714461 126.775819,-55.120279 -78.212038,-13.694946 -0.403795,42.520773 49.058218,40.726490 152.525712,-15.947015 -159.153768,-47.914720 18.906781,6.005086 73.568671,53.768887 141.264471,23.146919 -127.954398,-34.453276 -82.089218,-32.426214 103.108122,25.322905 148.608849,52.976251 -118.065392,3.714461 -53.224181,-49.306975 3.454342,-13.694946 179.596205,42.520773 -130.941782,40.726490 -27.474288,-15.947015 20.846232,-55.120279 101.787962
