19.185759 -82.670365,54.754269 3.034942,10.102730 76.176917,-45.151052 127.743537,-37.973348 -129.624608,37.343274 -4.595644,45.546185 98.081691,-9.624073 150.087485,-54.642388 -137.716897,-19.950772 -51.338738,51.157806 83.177484,29.159523 -179.561498,-28.690088 -134.290380,-51.495977 -37.792507,-0.402437 23.024904,54.754269 -176.965058,10.102730 -103.823083,-45.151052 -52.256463,-37.973348 50.375392,19.185759 97.329635,45.546185 -81.918309,-9.624073 -29.912515,-54.642388 42.283103,-19.950772 128.661262,37.343274 175.404356,29.159523 0.438502,-28.690088 45.709620,-51.495977 142.207493,-0.402437 -156.975096,51.157806 -96.822516
20.632916 -81.618767,54.463539 5.996474,8.615984 77.120943,-46.191922 129.735288,-36.713044 -128.111535,38.595112 -3.050623,44.477992 100.031132,-11.107336 151.037220,-54.886257 -134.742349,-18.501950 -50.298615,51.874360 85.727123,27.776297 -178.341716,-30.061310 -133.049813,-50.749639 -35.296762,1.094191 23.940645,54.463539 -174.003526,8.615984 -102.879057,-46.191922 -50.264712,-36.713044 51.888465,20.632916 98.381233,44.477992 -79.968868,-11.107336 -28.962780,-54.886257 45.257651,-18.501950 129.701385,38.595112 176.949377,27.776297 1.658284,-30.061310 46.950187,-50.749639 144.703238,1.094191 -156.059355,51.874360 -94.272877
22.071703 -80.544795,54.095258 8.908880,7.126236 78.056618,-47.191929 131.806637,-35.430589 -126.651370,39.822055 -1.447255,43.373324 101.905096,-12.586479 151.997749,-55.050276 -131.736404,-17.045747 -49.277851,52.528207 88.359201,26.380066 -177.155640,-31.417584 -131.771466,-49.946226 -32.885930,2.590520 24.857472,54.095258 -171.091120,7.126236 -101.943382,-47.191929 -48.193363,-35.430589 53.348630,22.071703 99.455205,43.373324 -78.094904,-12.586479 -28.002251,-55.050276 48.263596,-17.045747 130.722149,39.822055 178.552745,26.380066 2.844360,-31.417584 48.228534,-49.946226 147.114070,2.590520 -155.142528,52.528207 -91.640799
23.501308 -79.446401,53.651800 11.762644,5.634040 78.985428,-48.148086 133.959971,-34.127628 -125.240879,41.022108 0.217911,42.234795 103.706819,-14.060903 152.970659,-55.133312 -128.711170,-15.582867 -48.274616,53.115977 91.070027,24.971870 -176.000802,-32.757679 -130.452576,-49.089138 -30.560585,4.086027 25.776793,53.651800 -168.237356,5.634040 -101.014572,-48.148086 -46.040029,-34.127628 54.759121,23.501308 100.553599,42.234795 -76.293181,-14.060903 -27.029341,-55.133312 51.288830,-15.582867 131.725384,41.022108 -179.782089,24.971870 3.999198,-32.757679 49.547424,-49.089138 149.439415,4.086027 -154.223207,53.115977 -88.929973
24.920872 -78.321448,53.135899 14.549641,4.139941 79.908833,-49.057266 136.197162,-32.805692 -123.876937,42.193132 1.948355,41.064860 105.439682,-15.529991 153.957586,-55.134785 -125.679290,-14.113983 -47.287152,53.634436 93.854484,23.552685 -174.874849,-34.080273 -129.090256,-48.181711 -28.320343,5.580184 26.700030,53.135899 -165.450359,4.139941 -100.091167,-49.057266 -43.802838,-32.805692 56.123063,24.920872 101.678552,41.064860 -74.560318,-15.529991 -26.042414,-55.134785 54.320710,-14.113983 132.712848,42.193132 -178.051645,23.552685 5.125151,-34.080273 50.909744,-48.181711 151.679657,5.580184 -153.299970,53.634436 -86.145516
26.329480 -77.167692,52.550574 17.263221,2.644473 80.828271,-49.916228 138.519426,-31.466204 -122.556531,43.332835 3.747535,39.865816 107.107142,-16.993099 154.960222,-55.054684 -122.653595,-12.639740 -46.313766,54.080555 96.705972,22.123427 -173.775536,-35.383944 -127.681498,-47.227194 -26.164013,7.072458 27.628620,52.550574 -162.736779,2.644473 -99.171729,-49.916228 -41.480574,-31.466204 57.443469,26.329480 102.832308,39.865816 -72.892858,-16.993099 -25.039778,-55.054684 57.346405,-12.639740 133.686234,43.332835 -176.252465,22.123427 6.224464,-35.383944 52.318502,-47.227194 153.835987,7.072458 -152.371380,54.080555 -83.294028
27.726160 -75.982784,51.899052 19.898212,1.148165 81.745163,-50.721635 140.927179,-30.110492 -121.276772,44.438769 5.618837,38.639807 108.712678,-18.449556 155.980323,-54.893569 -119.646740,-11.160758 -45.352818,54.451591 99.616421,20.684957 -172.700718,-36.667166 -126.223179,-46.228716 -24.089746,8.562305 28.564022,51.899052 -160.101788,1.148165 -98.254837,-50.721635 -39.072821,-30.110492 58.723228,27.726160 104.017216,38.639807 -71.287322,-18.449556 -24.019677,-54.893569 60.353260,-11.160758 134.647182,44.438769 -174.381163,20.684957 7.299282,-36.667166 53.776821,-46.228716 155.910254,8.562305 -151.435978,54.451591 -80.383579
29.109874 -74.764262,51.184699 22.450872,-0.348461 82.660919,-51.470091 143.419884,-28.739788 -120.034888,45.508325 7.565501,37.388833 110.259744,-19.898656 157.019714,-54.652554 -116.670858,-9.677633 -44.402721,54.745156 102.576361,19.238088 -171.648348,-37.928299 -124.712072,-45.189269 -22.095171,10.049169 29.507721,51.184699 -157.549128,-0.348461 -97.339081,-51.470091 -36.580116,-28.739788 59.965112,29.109874 105.235738,37.388833 -69.740256,-19.898656 -22.980286,-54.652554 63.329142,-9.677633 135.597279,45.508325 -172.434499,19.238088 8.351652,-37.928299 55.287928,-45.189269 157.904829,10.049169 -150.492279,54.745156 -77.423639
30.479512 -73.509543,50.410955 24.918795,-1.844883 83.576945,-52.158186 145.995901,-27.355248 -118.828234,46.538733 9.590544,36.114755 111.751739,-21.339660 158.080299,-54.333266 -113.737245,-8.190945 -43.461930,54.959287 105.575073,17.783589 -170.616466,-39.165579 -123.144856,-44.111697 -20.177518,11.532480 30.461239,50.410955 -155.081205,-1.844883 -96.423055,-52.158186 -34.004099,-27.355248 61.171766,30.479512 106.490457,36.114755 -68.248261,-21.339660 -21.919701,-54.333266 66.262755,-8.190945 136.538070,46.538733 -170.409456,17.783589 9.383534,-39.165579 56.855144,-44.111697 159.822482,11.532480 -149.538761,54.959287 -74.424927
31.833886 -72.215924,49.581272 27.300779,-3.340580 84.494648,-52.782543 148.652350,-25.957948 -117.654281,47.527067 11.696656,34.819303 113.191976,-22.771787 159.164062,-53.937793 -110.856098,-6.701256 -42.528939,55.092515 108.600808,16.322193 -169.603194,-40.377110 -121.518139,-42.998688 -18.333728,13.011652 31.426136,49.581272 -152.699221,-3.340580 -95.505352,-52.782543 -31.347650,-25.957948 62.345719,31.833886 107.784076,34.819303 -66.808024,-22.771787 -20.835938,-53.937793 69.143902,-6.701256 137.471061,47.527067 -168.303344,16.322193 10.396806,-40.377110 58.481861,-42.998688 161.666272,13.011652 -148.573864,55.092515 -71.399192
